Serial#,Time,Status,ScanItems,ScanFiles,ScanBadFiles,ScanFilterout,ScanTotalBytes,BytesMigrated,FinishedPacks,MigratedPacks,FinishedFiles,MigratedFiles,WorklistCount,CurrentPackedPks,CurrentUploadedPks,CurrentSubmittedPks,Thread_Pack,Thread_Upload,Thread_Submit,Thread_Total,Errors,Warnings,Memory
"0","2018-10-30 08:51:34","SCANNING","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","186675200"
"1","2018-10-30 09:02:06","SCANNING","120","120","0","0","2204222","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","192720896"
"2","2018-10-30 09:02:07","SCANNING","527","520","2","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","209055744"
"3","2018-10-30 09:02:09","SCANNING","532","524","6","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","209092608"
"4","2018-10-30 09:02:10","SCANNING","538","530","12","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","207724544"
"5","2018-10-30 09:02:12","SCANNING","542","534","16","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","207736832"
"6","2018-10-30 09:02:13","SCANNING","547","539","21","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","206753792"
"7","2018-10-30 09:02:15","SCANNING","552","544","26","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","206884864"
"8","2018-10-30 09:02:17","SCANNING","558","550","32","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","206598144"
"9","2018-10-30 09:02:18","SCANNING","563","555","37","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","208707584"
"10","2018-10-30 09:02:20","SCANNING","568","560","42","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","207728640"
"11","2018-10-30 09:02:21","SCANNING","573","565","47","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","209297408"
"12","2018-10-30 09:02:23","SCANNING","579","571","53","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","209383424"
"13","2018-10-30 09:02:24","SCANNING","582","574","56","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","210579456"
"14","2018-10-30 09:02:26","SCANNING","587","579","61","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","211857408"
"15","2018-10-30 09:02:27","SCANNING","592","584","66","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","212738048"
"16","2018-10-30 09:02:29","SCANNING","596","588","70","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","213753856"
"17","2018-10-30 09:02:30","SCANNING","602","594","76","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","213557248"
"18","2018-10-30 09:02:32","SCANNING","609","601","83","1","34792633","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","214556672"
