Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\_htaccess.old","https://microsoft-my.sharepoint-df.com/personal/sibourda_microsoft_com/Documents/_htaccess.old","_htaccess.old",".old","417","Item","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The file is filtered out by extension","0x01210004","ecfce6a7-256d-5f4f-9597-e0431d351410","ecfce6a7-256d-5f4f-9597-e0431d351410","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\landscape-header\landscape-header.css","/landscape-header/landscape-header.css","landscape-header.css",".css","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","48813b96-e383-5f9c-8db9-c43f3fad10fc","48813b96-e383-5f9c-8db9-c43f3fad10fc","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\landscape-header\landscape-header.htm","/landscape-header/landscape-header.htm","landscape-header.htm",".htm","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","44224f1e-6639-5b68-b370-44362a285e58","44224f1e-6639-5b68-b370-44362a285e58","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\landscape-header\landscape-header.js","/landscape-header/landscape-header.js","landscape-header.js",".js","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","813a03d7-1cc3-5ca3-9980-2ccf25f14944","813a03d7-1cc3-5ca3-9980-2ccf25f14944","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\banniere_liens2.gif","/menu-files/banniere_liens2.gif","banniere_liens2.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","1814783b-ba3c-59b4-91ff-59ac1aea9760","1814783b-ba3c-59b4-91ff-59ac1aea9760","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\bt1dljm_0.png","/menu-files/bt1dljm_0.png","bt1dljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","409fbaa4-8342-58c2-8914-d2a4e37c1f58","409fbaa4-8342-58c2-8914-d2a4e37c1f58","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\bt1dljm_1.png","/menu-files/bt1dljm_1.png","bt1dljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","31e0e736-2a71-52ac-8e20-dafc468722b3","31e0e736-2a71-52ac-8e20-dafc468722b3","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\bt7dljm_0.png","/menu-files/bt7dljm_0.png","bt7dljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","468c4684-f872-5b0c-b31a-a66d4f2c850a","468c4684-f872-5b0c-b31a-a66d4f2c850a","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\bt7dljm_1.png","/menu-files/bt7dljm_1.png","bt7dljm_1.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","dbfae35a-c249-57c0-a53e-36a99708c012","dbfae35a-c249-57c0-a53e-36a99708c012","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\menu-files\btcdljm_0.png","/menu-files/btcdljm_0.png","btcdljm_0.png",".png","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0x01110009","3412f740-c234-573c-bb0e-cc83fe813d50","3412f740-c234-573c-bb0e-cc83fe813d50","N/A","N/A","1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
