Item#,TaskId,Hash,Type,MethodName,Message,StackTrace,Time,AllMessage
"0","00000000-0000-0000-0000-000000000000","2608dd75","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException","WrapExceptions(Action logicToRetry)","Credential Issue when doing SP Query","   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()","10/26/2018 9:54:22 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()"
"1","00000000-0000-0000-0000-000000000000","92b5189e","LOG ERROR","","Csom call with TraceCorrelationId 93379c9e-c005-0000-b067-dda05ce87418 from SPO\r\nMicrosoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()","","10/26/2018 9:54:22 AM",""
"2","00000000-0000-0000-0000-000000000000","75e36c7c","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException","WrapExceptions(Action logicToRetry)","Credential Issue when doing SP Query","   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:22 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"3","00000000-0000-0000-0000-000000000000","75e36c7c","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException","WrapExceptions(Action logicToRetry)","Credential Issue when doing SP Query","   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:22 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"4","00000000-0000-0000-0000-000000000000","92b5189e","LOG ERROR","","Could not get tenant setting SpecialCharactersStateInFileFolderNames for user sibourda@microsoft.com \r\nMicrosoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","","10/26/2018 9:54:22 AM",""
"5","00000000-0000-0000-0000-000000000000","75e36c7c","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException","WrapExceptions(Action logicToRetry)","Credential Issue when doing SP Query","   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:22 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"6","00000000-0000-0000-0000-000000000000","2608dd75","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException","WrapExceptions(Action logicToRetry)","Credential Issue when doing SP Query","   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()","10/26/2018 9:54:22 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()"
"7","00000000-0000-0000-0000-000000000000","75e36c7c","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException","WrapExceptions(Action logicToRetry)","Credential Issue when doing SP Query","   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:22 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
"8","00000000-0000-0000-0000-000000000000","92b5189e","LOG ERROR","","Csom call with TraceCorrelationId 93379c9e-c005-0000-b067-dda05ce87418 from SPO\r\nMicrosoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","","10/26/2018 9:54:22 AM",""
"9","00000000-0000-0000-0000-000000000000","75e36c7c","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException","WrapExceptions(Action logicToRetry)","Credential Issue when doing SP Query","   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)","10/26/2018 9:54:22 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPAuthenticationException: Credential Issue when doing SP Query ---> Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.Client.SPWebRequestExecutor.Execute()\r\n   at Microsoft.SharePoint.Client.ClientContext.GetFormDigestInfoPrivate()\r\n   at Microsoft.SharePoint.Client.ClientContext.EnsureFormDigest()\r\n   at Microsoft.SharePoint.Client.ClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.WrapExceptions(Action logicToRetry)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPOnlineClientContext.ExecuteQuery()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.MigSPClientContext.RunWithRetry(Action logicToRetry, Int32 retryCount, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)"
