Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/Lists/Engineering Discussion/what came first, the 1 or the 0","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/Lists/Engineering Discussion/what came first, the 1 or the 0","what came first, the 1 or the 0","","0","Folder","Migrated","Migrated","Migrated Successfully","37b96ee0-cafa-489d-b4fe-8cab656df361","37b96ee0-cafa-489d-b4fe-8cab656df361","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/Lists/Engineering Discussion/Should we do something about this bug","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/Lists/Engineering Discussion/Should we do something about this bug","Should we do something about this bug","","0","Folder","Migrated","Migrated","Migrated Successfully","dad1107e-27f9-4a59-b7b3-daff229c6236","dad1107e-27f9-4a59-b7b3-daff229c6236","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/Lists/Engineering Discussion/what came first, the 1 or the 0/2_.000","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/Lists/Engineering Discussion/what came first, the 1 or the 0/2_.000","2_.000",".000","0","Item","Migrated","Migrated","Migrated Successfully","53461980-3405-4c50-98ba-cdb0d8f2c363","53461980-3405-4c50-98ba-cdb0d8f2c363","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/Lists/Engineering Discussion/Should we do something about this bug/4_.000","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/Lists/Engineering Discussion/Should we do something about this bug/4_.000","4_.000",".000","0","Item","Migrated","Migrated","Migrated Successfully","1779f7b5-ffbd-44f0-8eaa-80afbafd7206","1779f7b5-ffbd-44f0-8eaa-80afbafd7206","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets/SitePages","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets/SitePages","SitePages","","0","Folder","Migrated","Migrated","Migrated Successfully","82a6683f-9a26-4c83-90c0-14af0c20d2d1","82a6683f-9a26-4c83-90c0-14af0c20d2d1","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets/SitePages/Home","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets/SitePages/Home","Home","","0","Folder","Migrated","Migrated","Migrated Successfully","bddd0e16-db44-499a-9410-108fd0f347e8","bddd0e16-db44-499a-9410-108fd0f347e8","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets/engineering logo.png","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets/engineering logo.png","engineering logo.png",".png","13810","Item","Migrated","Migrated","Migrated Successfully","efe5bfee-525d-4243-8f3c-67a97566c2f5","efe5bfee-525d-4243-8f3c-67a97566c2f5","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/Shared Documents/engpic.JPG","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/Shared Documents/engpic.JPG","engpic.JPG",".JPG","25091","Item","Migrated","Migrated","Migrated Successfully","55436435-525c-4d62-ad2a-b0ad4732e0ca","55436435-525c-4d62-ad2a-b0ad4732e0ca","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets/logo_v_04.png","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets/logo_v_04.png","logo_v_04.png",".png","4761","Item","Migrated","Migrated","Migrated Successfully","16fa3f25-1a68-46fe-b9a0-c65d264ce7a3","16fa3f25-1a68-46fe-b9a0-c65d264ce7a3","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering/SiteAssets/SitePages/Home/engpic.JPG","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234/SiteAssets/SitePages/Home/engpic.JPG","engpic.JPG",".JPG","25091","Item","Migrated","Migrated","Migrated Successfully","fe611faa-1d5c-46ab-a6c5-046b23284165","fe611faa-1d5c-46ab-a6c5-046b23284165","0","ffac0149-c23e-4b58-9a2a-2d27d9bb3b2b","R1","053c8af4-3763-4644-a932-e7435b4d779d","YANISTA"
