Structure type,Structure title,Operation,Status,Details,Source structure URL,Destination structure URL,Source structure ID,Destination structure ID,Time stamp
"List","Composed Looks","Skipped","","The list template is not supported","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/sites/Poll/Engineering/_catalogs/design","","0ecc5fe0-7346-4bd2-91a2-e7eadd2a9bb0","",""
"List","Master Page Gallery","Skipped","","The list template is not supported","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/sites/Poll/Engineering/_catalogs/masterpage","","30b6e22f-775e-4135-9714-1878b1fc96bf","",""
"List","Site Pages","Skipped","","The list template is not supported","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/sites/Poll/Engineering/SitePages","","9900f562-589c-4bb8-a539-0373c28114d5","",""
"Feature","DocumentRoutingResources","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","0c8a9a47-22a9-4798-82f1-00e62a96006e","","2018-10-26 16:58:40"
"Feature","PublishingPrerequisites","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","a392da98-270b-4e85-9769-04c0fde267aa","","2018-10-26 16:58:41"
"Feature","PublishingSite","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","f6924d36-2fa8-4f0b-b16d-06b7250180fa","","2018-10-26 16:58:59"
"Feature","EnhancedTheming","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","068bc832-4951-11dc-8314-0800200c9a66","","2018-10-26 16:59:00"
"Feature","Ratings","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","915c240e-a6cc-49b8-8b2c-0bff8b553ed3","",""
"Feature","WebPartAdderGroups","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","2ed1c45e-a73b-4779-ae81-1524e4de467a","","2018-10-26 16:59:01"
"Feature","PremiumSite","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","8581a8a7-cf16-4770-ac54-260265ddb0b2","","2018-10-26 16:59:07"
"Feature","CTypes","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","695b6570-a48b-4a8e-8ea5-26ea7fc1d162","",""
"Feature","SignaturesWorkflowSPD","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","c4773de6-ba70-4583-b751-2a7b1dc67e3a","","2018-10-26 16:59:07"
"Feature","InPlaceRecords","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","da2e115b-07e4-49d9-bb2c-35e93bb9fca9","","2018-10-26 16:59:07"
"Feature","SocialSite","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","4326e7fc-f35a-4b0f-927c-36264b0a4cf0","","2018-10-26 16:59:07"
"Feature","SignaturesWorkflowSPD1033","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","a42f749f-8633-48b7-9b22-403b40190409","","2018-10-26 16:59:08"
"Feature","Navigation","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","89e0306d-453b-4ec5-8d68-42067cdbf98e","","2018-10-26 16:59:08"
"Feature","ExpirationWorkflow","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","c85e5759-f323-4efb-b548-443d2216efb5","","2018-10-26 16:59:09"
"Feature","PublishingMobile","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","57cc6207-aebf-426e-9ece-45946ea82e4a","","2018-10-26 16:59:09"
"Feature","ShareWithEveryone","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","10f73b29-5779-46b3-85a8-4817a6e9a6c2","",""
